pT      v2         v2StatErr  v2PosSystErr  v2NegSysErr
0.5     0.0473     0.0003     0.0019        0.0030
0.7     0.0670     0.0003     0.0024        0.0043
0.9     0.0840     0.0004     0.0029        0.0057
1.1     0.0989     0.0005     0.0033        0.0072
1.3     0.1128     0.0007     0.0036        0.0089
1.5     0.1238     0.0009     0.0038        0.011
1.7     0.1315     0.0011     0.0041        0.012
1.9     0.1403     0.0014     0.0043        0.014
2.25    0.1491     0.0012     0.0045        0.017
2.75    0.1547     0.0021     0.0047        0.021
