pT      v3         v3StatErr  v3PosSystErr  v3NegSysErr
0.5     0.0101     0.0009     0.0022        0.0023
0.7     0.0157     0.0010     0.0034        0.0035
0.9     0.0231     0.0013     0.0050        0.0051
1.1     0.0297     0.0016     0.0065        0.0064
1.3     0.0368     0.0020     0.0080        0.0079
1.5     0.0385     0.0026     0.0084        0.0081
1.7     0.0425     0.0032     0.0093        0.0088
1.9     0.0446     0.0041     0.0097        0.0090
2.1     0.0504     0.0051     0.0110        0.0100
2.3     0.0465     0.0063     0.0101        0.0089
2.5     0.0582     0.0078     0.0127        0.0108
2.7     0.0389     0.0095     0.0085        0.0069
2.9     0.0411     0.0116     0.0090        0.0070
