pT      v3         v3StatErr  v3PosSystErr  v3NegSysErr
0.5     0.0033     0.0012     0.0007        0.0006
0.7     0.0067     0.0013     0.0018        0.0012
0.9     0.0081     0.0017     0.0028        0.0015
1.1     0.0098     0.0022     0.0042        0.0018
1.3     0.0130     0.0027     0.0066        0.0023
1.5     0.0158     0.0034     0.0094        0.0028
1.7     0.0102     0.0043     0.0069        0.0018
1.9     0.0133     0.0053     0.0102        0.0024
2.25    0.0193     0.0046     0.0178        0.0035
2.75    0.0211     0.0094     0.0241        0.0038
